brand,cashOptions[].productSlug,cashOptions[].thcWeight,categoryName,product.name,product.posPrice,product.qty
,5-boro-hood-candyz-7g-dime-bag,0.7,Flower,5 Boro - Hood Candyz .7g Dime Bag,9.0,10
,5-boro-permanent-marker-7g-dime-bag,0.7,Flower,5 Boro - Permanent Marker .7g Dime Bag,9.0,19
,akron-bloom-cherry-kiss-3-5g-flower,3.5,Flower,Akron Bloom - Cherry Kiss 3.5g Flower,34.0,7
,akron-bloom-flower-divorce-cake-7g,7.0,Flower,Akron Bloom - Flower - Divorce Cake 7G,50.0,15
,akron-bloom-flower-gmo-3-5g_2,3.5,Flower,Akron Bloom - Flower - GMO 3.5g,34.0,9
,akron-bloom-flower-strawberry-blonde-og-7g,7.0,Flower,Akron Bloom - Flower - Strawberry Blonde OG 7g,50.0,25
,back-home-farms-acapulco-gold-7g,7.0,Flower,Back Home Farms - Acapulco Gold - 7g,65.0,6
,back-home-farms-jack-herer-7g,7.0,Flower,Back Home Farms - Jack Herer - 7g,65.0,12
,back-home-farms-maui-waui-7g,7.0,Flower,Back Home Farms - Maui Waui - 7g,65.0,9
,back-home-farms-northern-lights-7g,7.0,Flower,Back Home Farms - Northern Lights - 7g,65.0,5
,juniper-jill-flower-confidential-3-5g_2,3.5,Flower,Juniper Jill - Flower - Confidential - 3.5g,36.0,10
,juniper-jill-flower-dante-inferno-3-5g,3.5,Flower,Juniper Jill - Flower - Dante Inferno - 3.5g,36.0,9
,nanticoke-coconut-cream-14g-jar,14.0,Flower,Nanticoke - Coconut Cream 14g Jar,110.0,7
,nanticoke-flower-coconut-cream-3-5g,3.5,Flower,Nanticoke - Flower - Coconut Cream - 3.5g,39.0,11
,nanticoke-lemon-cherry-gelato-3-5-gram-jar,3.5,Flower,Nanticoke - Lemon Cherry Gelato 3.5 Gram Jar,39.0,29
,nanticoke-lilac-diesel-3-5-gram-jar,3.5,Flower,Nanticoke - Lilac Diesel - 3.5 Gram Jar,39.0,8
,nanticoke-permafrost-14g-jar,14.0,Flower,Nanticoke - Permafrost 14g Jar,110.0,8
,pioneer-plant-tech-2-gram-double-grape-fresh-cured,2.0,Flower,Pioneer Plant Tech - 2 gram Double Grape Fresh Cured,20.0,17
,pioneer-plant-tech-2g-flower-blueberry-muffin,2.0,Flower,Pioneer Plant Tech - 2g Flower - Blueberry Muffin,20.0,6
,pioneer-plant-tech-flower-purple-p-dropper-2g,2.0,Flower,Pioneer Plant Tech - Flower -  Purple P Dropper - 2g,20.0,22
,pioneer-plant-tech-flower-mandarin-dog-1g-dime,1.0,Flower,Pioneer Plant Tech - Flower - Mandarin Dog 1g Dime,9.5,57
,pot-head-flower-mythic-cheetah-14g,14.0,Flower,Pot & Head - Flower - Mythic Cheetah - 14g,85.0,6
,pot-head-flower-sour-diesel-14g,14.0,Flower,Pot & Head - Flower - Sour Diesel 14g,85.0,2
,pot-head-tuxedo-edition-flower-14g-animal-face,14.0,Flower,Pot & Head Tuxedo Edition Flower 14g - Animal Face,88.0,3
,pot-head-tuxedo-edition-flower-14g-motor-cake,14.0,Flower,Pot & Head Tuxedo Edition Flower 14g - Motor Cake,88.0,6
,pot-head-tuxedo-edition-flower-3-5g-ice-cream-mintz,3.5,Flower,Pot & Head Tuxedo Edition Flower 3.5g - Ice Cream Mintz,38.0,11
,pot-head-tuxedo-edition-flower-3-5g-peanut-butter-cookie,3.5,Flower,Pot & Head Tuxedo Edition Flower 3.5g - Peanut Butter Cookie,38.0,12
,pot-head-tuxedo-edition-flower-3-5g-pink-passionfruit,3.5,Flower,Pot & Head Tuxedo Edition Flower 3.5g - Pink Passionfruit,38.0,7
,pot-head-tuxedo-edition-flower-3-5g-super-boof,3.5,Flower,Pot & Head Tuxedo Edition Flower 3.5g - Super Boof,38.0,2
